cod_municipio,nome_municipio,sigla_uf,ano,soja_ha
3511102,Catanduva,SP,2008,10.356362731933594
3514924,Elisiário,SP,2008,3.0894802673339843
3533254,Novais,SP,2008,53.017573846435546
3540309,Pontes Gestal,SP,2008,187.00106632367303
3532603,Nhandeara,SP,2008,176.83731742553712
3536257,Parisi,SP,2008,47.44962141723633
3544202,Riolândia,SP,2008,1501.6690329589844
3557105,Votuporanga,SP,2008,111.55712481689453
3510708,Cardoso,SP,2008,1006.4945524658203
3501806,Américo de Campos,SP,2008,136.98351127865064
3515905,Floreal,SP,2008,12.986634912109375
3512902,Cosmorama,SP,2008,148.95140729370118
3556107,Valentim Gentil,SP,2008,16.27567290649414
3551306,Sebastianópolis do Sul,SP,2008,0.9219790405273437
3501202,Álvares Florence,SP,2008,415.8887825789628
3535903,Paranapuã,SP,2008,110.32109231567382
3555802,Urânia,SP,2008,54.53607124023438
3502606,Aparecida d'Oeste,SP,2008,6.781669338163489
3503950,Aspásia,SP,2008,0.504270068359375
3545704,Santa Albertina,SP,2008,62.17318262329101
3514205,Dolcinópolis,SP,2008,21.779985009765625
3552551,Suzanápolis,SP,2008,157.52646248235962
3556958,Vitória Brasil,SP,2008,112.78413545264156
3529104,Marinópolis,SP,2008,1.1744800354003906
3549003,São Francisco,SP,2008,1.3432743286132813
3555307,Turmalina,SP,2008,28.257017486572266
3529658,Mesópolis,SP,2008,225.03591397094726
3540408,Populina,SP,2008,231.91512825317383
3535200,Palmeira d'Oeste,SP,2008,12.502448419189452
3524808,Jales,SP,2008,23.06534345954446
3540259,Pontalinda,SP,2008,53.189720812988284
3547650,Santa Salete,SP,2008,15.454082037353515
3513850,Dirce Reis,SP,2008,2.349356787109375
3534757,Ouroeste,SP,2008,1844.2747392211913
3549201,São João das Duas Pontes,SP,2008,6.964727136230469
3518008,Guarani d'Oeste,SP,2008,32.911115327627144
3530003,Mira Estrela,SP,2008,45.61149344482422
3549250,São João de Iracema,SP,2008,2.179886578369141
3515509,Fernandópolis,SP,2008,177.81516641845704
