Fonte,,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,MapBiomas,PAM/IBGE,PAM/IBGE,PAM/IBGE,PAM/IBGE,PAM/IBGE,TerraClass,TerraClass,TerraClass,TerraClass,TerraClass
Categoria,,Algodão,Cana,Mosaico_Usos,Outras,Outras_Perenes,Outras_Temporarias,Pastagem,Silvicultura,Soja,Veg_Nativa_Campestre,Veg_Nativa_Florestal,Veg_Nativa_Savanica,Veg_Nativa_Umida,Algodão,Algodão_Arboreo,Cana,Milho,Soja,Cultura_Temporaria_Total,Pastagem_Herbacea,Silvicultura,Veg_Florestal_Primaria,Veg_Florestal_Secundaria
RGINT,Ano,,,,,,,,,,,,,,,,,,,,,,,
Sinop,2008,7682.961565057412,0.8677808471679689,30690.733579266314,1907072.1266070693,,795076.1202761808,6795477.671582156,1956.2918246276886,2351218.0163060767,141626.77190779458,21584745.52238274,479187.1847767234,81630.68840962436,109061.0,0.0,816.0,898740.0,2286396.0,1212644.1361987216,5380348.755072465,0.020075270688,20606671.554800324,1320278.6535677912
Sinop,2009,6982.69724912117,0.8677808471679689,34905.27185073854,1905039.9030178296,,772690.0814311714,6819892.3164160475,2160.003348010257,2405094.3471445567,140541.92203350263,21534935.35660045,472724.68710204255,81397.5030239676,55952.0,0.0,1180.0,757180.0,2308364.0,,,,,
Sinop,2010,7070.2275584717245,0.1735561706542969,34750.09591533809,1903668.1778447349,,696211.6911298336,6806168.3882802995,3072.3766184570345,2532434.47067439,140207.3694497502,21503415.71683143,467395.20919032284,81971.05995054841,77177.0,0.0,808.0,955283.0,2417781.0,1436817.0654063914,5788547.535095998,3966.4318319936647,20496691.462879337,1551176.0255580195
Sinop,2011,2379.2399912170554,0.0867780334472656,37580.861893475165,1902461.222005952,,662859.2871968439,6865828.723614165,5062.255084344462,2597080.792462155,139944.8084600775,21415300.331686765,465657.21850786253,82210.12931815705,126260.0,0.0,675.0,866509.0,2565577.0,,,,,
Sinop,2012,1241.0220565612792,0.0,34850.8569555175,1905591.5665649183,,696915.1473216203,6821495.035395997,8097.535158904996,2665753.0736294,139372.94614829164,21358161.735623803,462179.3943788036,82706.64376438512,147272.0,0.0,835.0,1328593.0,2751322.0,349808.25924346567,1648951.6778685648,567.5881281618238,5057051.667433956,430277.9943445155
Sinop,2013,4294.595196783429,5.384253051757813,31453.415627129958,1901729.5155321492,,751225.9980596948,6699134.043004798,13938.867729803404,2840966.28399828,137496.13251793876,21258555.314998552,453621.2079296931,83944.19815019454,72980.0,0.0,481.0,1702200.0,3058485.0,,,,,
Sinop,2014,6064.422949432376,34.272711834716816,33139.25392587266,1900428.3311500505,,845391.9036142506,6568065.704607975,15004.58795629862,2974907.594352748,136572.49729676565,21162495.007383917,449818.71164225176,84442.66940665209,102585.0,0.0,1570.0,1527363.0,3326323.0,416855.11629257473,1638183.3930102398,265.2344763298559,5031250.789018843,434131.62323051324
Sinop,2015,8958.879751330545,4.693922644042968,26392.21118677364,1899213.2901810142,,797866.4330693602,6478565.748310741,16809.376572576664,3226014.4478247245,135578.68087039245,21058821.591338437,444358.31159014074,83781.29238005893,101503.0,0.0,1600.0,1691366.0,3418930.0,,,,,
Sinop,2016,12616.822430352777,5.672047674560549,24766.96049374991,1900513.3192348664,,806849.4125765584,6413470.504748343,16542.424624352814,3351606.8039206653,135110.46858250158,20990094.370575923,440348.1420442631,84440.05571898718,107842.0,0.0,1520.0,1839348.0,3507053.0,555542.1727758315,1557513.1561431936,2190.7741396400634,4990177.437637493,501291.4237525131
Sinop,2017,2578.4255156005884,1.4776262939453126,23759.83161793811,1906579.441896529,,800921.0184220583,6359249.072986243,16872.744521380508,3503145.338005018,134528.25499302393,20908989.80405322,435634.71178581344,84104.83557506636,116566.0,0.0,1535.0,2336203.0,3557267.0,,,,,
