RGINT,Ano,Categoria,Area_ha,Fonte
Santarém,2022,Veg_Nativa_Campestre,510686.91617459076,MapBiomas
Santarém,2022,Veg_Nativa_Florestal,36375794.8867585,MapBiomas
Santarém,2022,Veg_Nativa_Savanica,409932.7516279213,MapBiomas
Santarém,2022,Veg_Nativa_Umida,341563.44498791115,MapBiomas
Santarém,2023,Cana,124.02459655151358,MapBiomas
Santarém,2023,Mosaico_Usos,7000.375870135558,MapBiomas
Santarém,2023,Outras,3177304.4257051004,MapBiomas
Santarém,2023,Outras_Perenes,0.0,MapBiomas
Santarém,2023,Outras_Temporarias,35931.32890730599,MapBiomas
Santarém,2023,Pastagem,3011505.8961621155,MapBiomas
Santarém,2023,Silvicultura,129.55695437011707,MapBiomas
Santarém,2023,Soja,112506.51747621028,MapBiomas
Santarém,2023,Veg_Nativa_Campestre,504722.4014283748,MapBiomas
Santarém,2023,Veg_Nativa_Florestal,36265198.65215832,MapBiomas
Santarém,2023,Veg_Nativa_Savanica,409810.9806688348,MapBiomas
Santarém,2023,Veg_Nativa_Umida,454778.2255396298,MapBiomas
Santarém,2024,Cana,125.35819409790028,MapBiomas
Santarém,2024,Mosaico_Usos,7108.498182183911,MapBiomas
Santarém,2024,Outras,3176251.7550266674,MapBiomas
Santarém,2024,Outras_Perenes,0.0,MapBiomas
Santarém,2024,Outras_Temporarias,35796.48437673347,MapBiomas
Santarém,2024,Pastagem,3111847.713544061,MapBiomas
Santarém,2024,Silvicultura,129.46761040039053,MapBiomas
Santarém,2024,Soja,112596.68114788934,MapBiomas
Santarém,2024,Veg_Nativa_Campestre,500018.14261394535,MapBiomas
Santarém,2024,Veg_Nativa_Florestal,36168601.25428116,MapBiomas
Santarém,2024,Veg_Nativa_Savanica,408518.1732342649,MapBiomas
Santarém,2024,Veg_Nativa_Umida,458018.85725554294,MapBiomas
Barreiras,2008,Algodão,113578.18356905415,MapBiomas
Barreiras,2008,Cana,41813.978229211454,MapBiomas
Barreiras,2008,Mosaico_Usos,401422.9923007803,MapBiomas
Barreiras,2008,Outras,148836.36457038767,MapBiomas
Barreiras,2008,Outras_Perenes,4427.232546881101,MapBiomas
Barreiras,2008,Outras_Temporarias,815000.4397492154,MapBiomas
Barreiras,2008,Pastagem,987543.8613412911,MapBiomas
Barreiras,2008,Silvicultura,5166.185683386203,MapBiomas
Barreiras,2008,Soja,731220.7295350322,MapBiomas
Barreiras,2008,Veg_Nativa_Campestre,451372.0312605745,MapBiomas
Barreiras,2008,Veg_Nativa_Florestal,350857.0206666274,MapBiomas
Barreiras,2008,Veg_Nativa_Savanica,7764983.350718604,MapBiomas
Barreiras,2008,Veg_Nativa_Umida,196750.5325064076,MapBiomas
Barreiras,2009,Algodão,93125.84885773076,MapBiomas
Barreiras,2009,Cana,43207.37243652374,MapBiomas
Barreiras,2009,Mosaico_Usos,395126.0324249642,MapBiomas
Barreiras,2009,Outras,155776.46468060266,MapBiomas
Barreiras,2009,Outras_Perenes,5424.536882794146,MapBiomas
Barreiras,2009,Outras_Temporarias,898277.6268572271,MapBiomas
Barreiras,2009,Pastagem,1001885.1376112992,MapBiomas
Barreiras,2009,Silvicultura,5971.068464404284,MapBiomas
Barreiras,2009,Soja,735648.4677802067,MapBiomas
Barreiras,2009,Veg_Nativa_Campestre,441049.2066745644,MapBiomas
Barreiras,2009,Veg_Nativa_Florestal,347453.7033387014,MapBiomas
Barreiras,2009,Veg_Nativa_Savanica,7693605.17397192,MapBiomas
Barreiras,2009,Veg_Nativa_Umida,196422.26269656612,MapBiomas
Barreiras,2010,Algodão,80421.63103982703,MapBiomas
Barreiras,2010,Cana,42867.66805512712,MapBiomas
Barreiras,2010,Mosaico_Usos,363867.3271424859,MapBiomas
Barreiras,2010,Outras,153593.57006338748,MapBiomas
Barreiras,2010,Outras_Perenes,5117.315441174268,MapBiomas
Barreiras,2010,Outras_Temporarias,848007.0566112705,MapBiomas
Barreiras,2010,Pastagem,1010159.8455372043,MapBiomas
Barreiras,2010,Silvicultura,6995.9733947570885,MapBiomas
Barreiras,2010,Soja,886095.8608795891,MapBiomas
Barreiras,2010,Veg_Nativa_Campestre,434505.25346770365,MapBiomas
Barreiras,2010,Veg_Nativa_Florestal,345926.3794763317,MapBiomas
Barreiras,2010,Veg_Nativa_Savanica,7637531.816622978,MapBiomas
Barreiras,2010,Veg_Nativa_Umida,197883.20494646375,MapBiomas
Barreiras,2011,Algodão,104343.41606488924,MapBiomas
Barreiras,2011,Cana,42604.41089572157,MapBiomas
Barreiras,2011,Mosaico_Usos,360983.1315738203,MapBiomas
Barreiras,2011,Outras,154721.36670360132,MapBiomas
