ano,uf,cultura,conab_ha
2016,PA,Soja (em grão),411700.0
2016,PA,Soja (em grão),428900.0
2016,PB,Soja (em grão),0.0
2016,PE,Soja (em grão),0.0
2016,PI,Soja (em grão),565000.0
2016,PI,Soja (em grão),565000.0
2016,PR,Soja (em grão),5451300.0
2016,PR,Soja (em grão),5444800.0
2016,RJ,Soja (em grão),0.0
2016,RN,Soja (em grão),0.0
2016,RO,Soja (em grão),252600.0
2016,RO,Soja (em grão),252600.0
2016,RR,Soja (em grão),24000.0
2016,RR,Soja (em grão),24000.0
2016,RS,Soja (em grão),5455000.0
2016,RS,Soja (em grão),5455000.0
2016,SC,Soja (em grão),639100.0
2016,SC,Soja (em grão),639100.0
2016,SE,Soja (em grão),0.0
2016,SP,Soja (em grão),857600.0
2016,SP,Soja (em grão),857600.0
2016,TO,Soja (em grão),870800.0
2016,TO,Soja (em grão),871000.0
2017,AC,Soja (em grão),0.0
2017,AL,Soja (em grão),0.0
2017,AM,Soja (em grão),0.0
2017,AP,Soja (em grão),18900.0
2017,AP,Soja (em grão),19000.0
2017,BA,Soja (em grão),1580000.0
2017,BA,Soja (em grão),1580300.0
2017,CE,Soja (em grão),0.0
2017,DF,Soja (em grão),70000.0
2017,DF,Soja (em grão),70000.0
2017,ES,Soja (em grão),0.0
2017,GO,Soja (em grão),3278500.0
2017,GO,Soja (em grão),3278000.0
2017,MA,Soja (em grão),822000.0
2017,MA,Soja (em grão),821700.0
2017,MG,Soja (em grão),1456100.0
2017,MG,Soja (em grão),1456000.0
2017,MS,Soja (em grão),2522000.0
2017,MS,Soja (em grão),2522300.0
2017,MT,Soja (em grão),9322800.0
2017,MT,Soja (em grão),9323000.0
2017,PA,Soja (em grão),500000.0
2017,PA,Soja (em grão),500100.0
2017,PB,Soja (em grão),0.0
2017,PE,Soja (em grão),0.0
2017,PI,Soja (em grão),693800.0
2017,PI,Soja (em grão),694000.0
2017,PR,Soja (em grão),5250000.0
2017,PR,Soja (em grão),5249600.0
2017,RJ,Soja (em grão),0.0
2017,RN,Soja (em grão),0.0
2017,RO,Soja (em grão),296000.0
2017,RO,Soja (em grão),296000.0
2017,RR,Soja (em grão),30000.0
2017,RR,Soja (em grão),30000.0
2017,RS,Soja (em grão),5569600.0
2017,RS,Soja (em grão),5570000.0
2017,SC,Soja (em grão),640000.0
2017,SC,Soja (em grão),640400.0
2017,SE,Soja (em grão),0.0
2017,SP,Soja (em grão),895300.0
2017,SP,Soja (em grão),895000.0
2017,TO,Soja (em grão),964000.0
2017,TO,Soja (em grão),964000.0
2018,AC,Soja (em grão),500.0
2018,AL,Soja (em grão),2200.0
2018,AM,Soja (em grão),1500.0
2018,AP,Soja (em grão),20200.0
2018,BA,Soja (em grão),1599300.0
2018,CE,Soja (em grão),0.0
2018,DF,Soja (em grão),71500.0
2018,ES,Soja (em grão),0.0
2018,GO,Soja (em grão),3386700.0
2018,MA,Soja (em grão),951500.0
2018,MG,Soja (em grão),1508500.0
2018,MS,Soja (em grão),2672000.0
2018,MT,Soja (em grão),9518600.0
2018,PA,Soja (em grão),549600.0
2018,PB,Soja (em grão),0.0
2018,PE,Soja (em grão),0.0
2018,PI,Soja (em grão),710500.0
2018,PR,Soja (em grão),5464800.0
2018,RJ,Soja (em grão),0.0
2018,RN,Soja (em grão),0.0
2018,RO,Soja (em grão),333600.0
2018,RR,Soja (em grão),38200.0
2018,RS,Soja (em grão),5692100.0
2018,SC,Soja (em grão),678200.0
2018,SE,Soja (em grão),0.0
2018,SP,Soja (em grão),961600.0
2018,TO,Soja (em grão),988100.0
2019,AC,Soja (em grão),2000.0
2019,AL,Soja (em grão),2000.0
2019,AM,Soja (em grão),2000.0
2019,AP,Soja (em grão),21000.0
2019,BA,Soja (em grão),1580000.0
2019,CE,Soja (em grão),0.0
2019,DF,Soja (em grão),73000.0
2019,ES,Soja (em grão),0.0
2019,GO,Soja (em grão),3476000.0
2019,MA,Soja (em grão),992000.0
2019,MG,Soja (em grão),1575000.0
2019,MS,Soja (em grão),2854000.0
2019,MT,Soja (em grão),9700000.0
2019,PA,Soja (em grão),561000.0
2019,PB,Soja (em grão),0.0
2019,PE,Soja (em grão),0.0
2019,PI,Soja (em grão),758000.0
2019,PR,Soja (em grão),5438000.0
2019,RJ,Soja (em grão),0.0
2019,RN,Soja (em grão),0.0
2019,RO,Soja (em grão),334000.0
2019,RR,Soja (em grão),40000.0
2019,RS,Soja (em grão),5778000.0
2019,SC,Soja (em grão),665000.0
2019,SE,Soja (em grão),0.0
2019,SP,Soja (em grão),996000.0
2019,TO,Soja (em grão),1029000.0
2020,AC,Soja (em grão),4000.0
2020,AL,Soja (em grão),1000.0
2020,AM,Soja (em grão),2000.0
2020,AP,Soja (em grão),21000.0
2020,BA,Soja (em grão),1620000.0
2020,CE,Soja (em grão),0.0
2020,DF,Soja (em grão),74000.0
2020,ES,Soja (em grão),0.0
2020,GO,Soja (em grão),3545000.0
2020,MA,Soja (em grão),976000.0
2020,MG,Soja (em grão),1647000.0
2020,MS,Soja (em grão),3016000.0
2020,MT,Soja (em grão),10004000.0
2020,PA,Soja (em grão),607000.0
2020,PB,Soja (em grão),0.0
2020,PE,Soja (em grão),0.0
2020,PI,Soja (em grão),759000.0
2020,PR,Soja (em grão),5503000.0
2020,RJ,Soja (em grão),0.0
2020,RN,Soja (em grão),0.0
2020,RO,Soja (em grão),348000.0
2020,RR,Soja (em grão),50000.0
2020,RS,Soja (em grão),5902000.0
2020,SC,Soja (em grão),681000.0
2020,SE,Soja (em grão),0.0
2020,SP,Soja (em grão),1110000.0
2020,TO,Soja (em grão),1078000.0
2021,AC,Soja (em grão),6100.0
2021,AL,Soja (em grão),2800.0
2021,AM,Soja (em grão),4300.0
2021,AP,Soja (em grão),5300.0
2021,BA,Soja (em grão),1701000.0
2021,CE,Soja (em grão),0.0
2021,DF,Soja (em grão),78500.0
2021,ES,Soja (em grão),0.0
2021,GO,Soja (em grão),4299000.0
2021,MA,Soja (em grão),1005700.0
2021,MG,Soja (em grão),1899300.0
2021,MS,Soja (em grão),3360000.0
2021,MT,Soja (em grão),10479700.0
2021,PA,Soja (em grão),731900.0
2021,PB,Soja (em grão),0.0
2021,PE,Soja (em grão),0.0
2021,PI,Soja (em grão),834800.0
2021,PR,Soja (em grão),5623800.0
2021,RJ,Soja (em grão),0.0
2021,RN,Soja (em grão),0.0
2021,RO,Soja (em grão),396500.0
2021,RR,Soja (em grão),70000.0
2021,RS,Soja (em grão),6055200.0
2021,SC,Soja (em grão),696300.0
2021,SE,Soja (em grão),0.0
2021,SP,Soja (em grão),1162000.0
2021,TO,Soja (em grão),1119000.0
2022,AC,Soja (em grão),6100.0
2022,AL,Soja (em grão),2300.0
2022,AM,Soja (em grão),4500.0
2022,AP,Soja (em grão),6500.0
2022,BA,Soja (em grão),1893200.0
2022,CE,Soja (em grão),0.0
2022,DF,Soja (em grão),84200.0
2022,ES,Soja (em grão),0.0
2022,GO,Soja (em grão),4393600.0
2022,MA,Soja (em grão),1075100.0
2022,MG,Soja (em grão),1982900.0
2022,MS,Soja (em grão),3660300.0
2022,MT,Soja (em grão),11108500.0
2022,PA,Soja (em grão),828500.0
2022,PB,Soja (em grão),0.0
2022,PE,Soja (em grão),0.0
2022,PI,Soja (em grão),850700.0
2022,PR,Soja (em grão),5668800.0
2022,RJ,Soja (em grão),0.0
2022,RN,Soja (em grão),0.0
2022,RO,Soja (em grão),491700.0
2022,RR,Soja (em grão),95000.0
2022,RS,Soja (em grão),6358000.0
2022,SC,Soja (em grão),727600.0
2022,SE,Soja (em grão),0.0
2022,SP,Soja (em grão),1215500.0
2022,TO,Soja (em grão),1340800.0
2023,AC,Soja (em grão),12000.0
2023,AL,Soja (em grão),5600.0
2023,AM,Soja (em grão),6900.0
2023,AP,Soja (em grão),7400.0
2023,BA,Soja (em grão),1919700.0
2023,CE,Soja (em grão),4600.0
2023,DF,Soja (em grão),86100.0
2023,ES,Soja (em grão),0.0
2023,GO,Soja (em grão),4547400.0
2023,MA,Soja (em grão),1192700.0
2023,MG,Soja (em grão),2171300.0
2023,MS,Soja (em grão),3887200.0
2023,MT,Soja (em grão),12086000.0
2023,PA,Soja (em grão),939500.0
2023,PB,Soja (em grão),0.0
2023,PE,Soja (em grão),0.0
2023,PI,Soja (em grão),976600.0
2023,PR,Soja (em grão),5450000.0
2023,RJ,Soja (em grão),0.0
2023,RN,Soja (em grão),0.0
2023,RO,Soja (em grão),595000.0
2023,RR,Soja (em grão),123000.0
2023,RS,Soja (em grão),7035000.0
2023,SC,Soja (em grão),733400.0
2023,SE,Soja (em grão),0.0
2023,SP,Soja (em grão),1296900.0
2023,TO,Soja (em grão),1438400.0
2024,AC,Soja (em grão),17500.0
2024,AL,Soja (em grão),6200.0
2024,AM,Soja (em grão),17700.0
2024,AP,Soja (em grão),7500.0
2024,BA,Soja (em grão),1979200.0
2024,CE,Soja (em grão),3900.0
2024,DF,Soja (em grão),88700.0
2024,ES,Soja (em grão),0.0
2024,GO,Soja (em grão),4833900.0
2024,MA,Soja (em grão),1329700.0
2024,MG,Soja (em grão),2251600.0
2024,MS,Soja (em grão),4124300.0
2024,MT,Soja (em grão),12376100.0
2024,PA,Soja (em grão),1129300.0
2024,PB,Soja (em grão),0.0
2024,PE,Soja (em grão),800.0
2024,PI,Soja (em grão),1087000.0
2024,PR,Soja (em grão),5542800.0
2024,RJ,Soja (em grão),0.0
2024,RN,Soja (em grão),0.0
2024,RO,Soja (em grão),643200.0
2024,RR,Soja (em grão),123000.0
2024,RS,Soja (em grão),6980000.0
2024,SC,Soja (em grão),792100.0
2024,SE,Soja (em grão),0.0
2024,SP,Soja (em grão),1304700.0
2024,TO,Soja (em grão),1456700.0
2008,AC,Milho (em grão),48300.0
2008,AL,Milho (em grão),145600.0
2008,AM,Milho (em grão),27800.0
2008,AP,Milho (em grão),6200.0
2008,BA,Milho (em grão),1663199.9999999998
2008,CE,Milho (em grão),1388200.0
2008,DF,Milho (em grão),96300.0
2008,ES,Milho (em grão),74400.0
2008,GO,Milho (em grão),1806500.0
2008,MA,Milho (em grão),706300.0
2008,MG,Milho (em grão),2679399.9999999995
2008,MS,Milho (em grão),1976300.0
2008,MT,Milho (em grão),3669600.0
2008,PA,Milho (em grão),536000.0
2008,PB,Milho (em grão),386000.0
2008,PE,Milho (em grão),608200.0
2008,PI,Milho (em grão),581900.0
2008,PR,Milho (em grão),5959400.0
2008,RJ,Milho (em grão),16100.000000000002
2008,RN,Milho (em grão),159500.0
2008,RO,Milho (em grão),321300.0
2008,RR,Milho (em grão),12400.0
2008,RS,Milho (em grão),2782000.0
2008,SC,Milho (em grão),1431800.0
2008,SE,Milho (em grão),325700.0
2008,SP,Milho (em grão),1932000.0
2008,TO,Milho (em grão),193299.99999999997
2009,AC,Milho (em grão),48500.0
2009,AL,Milho (em grão),142300.0
2009,AM,Milho (em grão),24200.0
2009,AP,Milho (em grão),7500.0
