ano,classe,area_ha,bioma
2010,8 - Pastagem deg. alta,11081.05,Pampa
2010,9 - Pastagem deg. baixa,7390963.5,Amazônia
2010,9 - Pastagem deg. baixa,1160135.33,Caatinga
2010,9 - Pastagem deg. baixa,8685811.25,Cerrado
2010,9 - Pastagem deg. baixa,2510838.98,Mata Atlântica
2010,9 - Pastagem deg. baixa,65789.95,Pampa
2011,1 - Culturas perenes,6174.96,Amazônia
2011,1 - Culturas perenes,379125.2,Caatinga
2011,1 - Culturas perenes,818805.49,Cerrado
2011,1 - Culturas perenes,586627.97,Mata Atlântica
2011,1 - Culturas perenes,8240.84,Pampa
2011,10 - Silvicultura,155427.17,Amazônia
2011,10 - Silvicultura,217090.06,Caatinga
2011,10 - Silvicultura,2942189.05,Cerrado
2011,10 - Silvicultura,2834273.65,Mata Atlântica
2011,10 - Silvicultura,915700.2,Pampa
2011,11 - Veg. prim. florestal,317790298.42,Amazônia
2011,11 - Veg. prim. florestal,23168369.12,Caatinga
2011,11 - Veg. prim. florestal,206886702.69,Cerrado
2011,11 - Veg. prim. florestal,17712604.92,Mata Atlântica
2011,11 - Veg. prim. florestal,14135406.62,Pampa
2011,15 - Outro,10376813.39,Amazônia
2011,15 - Outro,1691861.34,Caatinga
2011,15 - Outro,7544082.75,Cerrado
2011,15 - Outro,3268134.01,Mata Atlântica
2011,15 - Outro,1013189.17,Pampa
2011,2 - Soja,85530.31,Amazônia
2011,2 - Soja,4.59,Caatinga
2011,2 - Soja,4023159.72,Cerrado
2011,2 - Soja,2359956.2,Mata Atlântica
2011,2 - Soja,5223571.02,Pampa
2011,3 - Soja + Milho 2ª safra,20019.71,Amazônia
2011,3 - Soja + Milho 2ª safra,0.0,Caatinga
2011,3 - Soja + Milho 2ª safra,10456799.97,Cerrado
2011,3 - Soja + Milho 2ª safra,3651954.7,Mata Atlântica
2011,3 - Soja + Milho 2ª safra,0.0,Pampa
2011,4 - Milho 1ª safra,371948.35,Amazônia
2011,4 - Milho 1ª safra,1260421.0,Caatinga
2011,4 - Milho 1ª safra,2905956.55,Cerrado
2011,4 - Milho 1ª safra,1849546.69,Mata Atlântica
2011,4 - Milho 1ª safra,1100309.0,Pampa
2011,5 - Cana-de-açúcar,55318.71,Amazônia
2011,5 - Cana-de-açúcar,1248751.14,Caatinga
2011,5 - Cana-de-açúcar,1983363.21,Cerrado
2011,5 - Cana-de-açúcar,6604570.19,Mata Atlântica
2011,5 - Cana-de-açúcar,73780.5,Pampa
2011,6 - Outra agropecuária,503089.78,Amazônia
2011,6 - Outra agropecuária,6263035.43,Caatinga
2011,6 - Outra agropecuária,25516392.19,Cerrado
2011,6 - Outra agropecuária,14944993.33,Mata Atlântica
2011,6 - Outra agropecuária,5861788.83,Pampa
2011,7 - Pastagem deg. média,4481449.09,Amazônia
2011,7 - Pastagem deg. média,1825937.29,Caatinga
2011,7 - Pastagem deg. média,20137494.59,Cerrado
2011,7 - Pastagem deg. média,2903789.82,Mata Atlântica
2011,7 - Pastagem deg. média,87279.93,Pampa
2011,8 - Pastagem deg. alta,272887.4,Amazônia
2011,8 - Pastagem deg. alta,1183046.46,Caatinga
2011,8 - Pastagem deg. alta,11208353.42,Cerrado
2011,8 - Pastagem deg. alta,946634.01,Mata Atlântica
2011,8 - Pastagem deg. alta,7563.72,Pampa
2011,9 - Pastagem deg. baixa,7964226.28,Amazônia
2011,9 - Pastagem deg. baixa,1050677.5,Caatinga
2011,9 - Pastagem deg. baixa,9191714.47,Cerrado
2011,9 - Pastagem deg. baixa,2698538.35,Mata Atlântica
2011,9 - Pastagem deg. baixa,81059.24,Pampa
2012,1 - Culturas perenes,5817.81,Amazônia
2012,1 - Culturas perenes,384512.14,Caatinga
2012,1 - Culturas perenes,863802.31,Cerrado
2012,1 - Culturas perenes,621687.92,Mata Atlântica
2012,1 - Culturas perenes,8157.88,Pampa
2012,10 - Silvicultura,163322.74,Amazônia
2012,10 - Silvicultura,230364.33,Caatinga
2012,10 - Silvicultura,3171934.04,Cerrado
2012,10 - Silvicultura,2972786.45,Mata Atlântica
2012,10 - Silvicultura,967042.82,Pampa
2012,11 - Veg. prim. florestal,317463074.96,Amazônia
2012,11 - Veg. prim. florestal,23080855.2,Caatinga
2012,11 - Veg. prim. florestal,206599450.16,Cerrado
2012,11 - Veg. prim. florestal,17733864.33,Mata Atlântica
2012,11 - Veg. prim. florestal,13979768.69,Pampa
2012,15 - Outro,10497584.21,Amazônia
2012,15 - Outro,1623151.48,Caatinga
2012,15 - Outro,6739434.23,Cerrado
2012,15 - Outro,3278208.28,Mata Atlântica
2012,15 - Outro,1015770.76,Pampa
2012,2 - Soja,87318.45,Amazônia
2012,2 - Soja,11.25,Caatinga
2012,2 - Soja,3853396.42,Cerrado
2012,2 - Soja,2361045.87,Mata Atlântica
2012,2 - Soja,5425720.74,Pampa
2012,3 - Soja + Milho 2ª safra,21516.12,Amazônia
2012,3 - Soja + Milho 2ª safra,0.0,Caatinga
2012,3 - Soja + Milho 2ª safra,10037172.35,Cerrado
2012,3 - Soja + Milho 2ª safra,3407018.31,Mata Atlântica
2012,3 - Soja + Milho 2ª safra,0.0,Pampa
2012,4 - Milho 1ª safra,376654.55,Amazônia
2012,4 - Milho 1ª safra,894152.0,Caatinga
2012,4 - Milho 1ª safra,3108922.83,Cerrado
2012,4 - Milho 1ª safra,2067569.19,Mata Atlântica
2012,4 - Milho 1ª safra,1119220.0,Pampa
2012,5 - Cana-de-açúcar,57104.29,Amazônia
2012,5 - Cana-de-açúcar,1256053.92,Caatinga
2012,5 - Cana-de-açúcar,2203360.26,Cerrado
2012,5 - Cana-de-açúcar,6767158.5,Mata Atlântica
2012,5 - Cana-de-açúcar,76803.74,Pampa
2012,6 - Outra agropecuária,542990.03,Amazônia
2012,6 - Outra agropecuária,6143000.16,Caatinga
2012,6 - Outra agropecuária,25608370.84,Cerrado
2012,6 - Outra agropecuária,14611185.73,Mata Atlântica
2012,6 - Outra agropecuária,5845294.64,Pampa
2012,7 - Pastagem deg. média,4487508.7,Amazônia
2012,7 - Pastagem deg. média,1450209.19,Caatinga
2012,7 - Pastagem deg. média,19946690.93,Cerrado
2012,7 - Pastagem deg. média,2760090.81,Mata Atlântica
2012,7 - Pastagem deg. média,77725.42,Pampa
2012,8 - Pastagem deg. alta,270799.29,Amazônia
2012,8 - Pastagem deg. alta,2350915.79,Caatinga
2012,8 - Pastagem deg. alta,11666377.68,Cerrado
2012,8 - Pastagem deg. alta,899358.47,Mata Atlântica
2012,8 - Pastagem deg. alta,5216.7,Pampa
2012,9 - Pastagem deg. baixa,8102343.02,Amazônia
2012,9 - Pastagem deg. baixa,791148.34,Caatinga
2012,9 - Pastagem deg. baixa,8733060.59,Cerrado
2012,9 - Pastagem deg. baixa,2747319.01,Mata Atlântica
2012,9 - Pastagem deg. baixa,98470.26,Pampa
2013,1 - Culturas perenes,7385.62,Amazônia
2013,1 - Culturas perenes,385807.3,Caatinga
2013,1 - Culturas perenes,938361.8,Cerrado
2013,1 - Culturas perenes,672268.06,Mata Atlântica
2013,1 - Culturas perenes,8943.1,Pampa
2013,10 - Silvicultura,178275.71,Amazônia
2013,10 - Silvicultura,251895.86,Caatinga
2013,10 - Silvicultura,3511261.04,Cerrado
2013,10 - Silvicultura,3075612.93,Mata Atlântica
2013,10 - Silvicultura,1017621.64,Pampa
2013,11 - Veg. prim. florestal,317200555.72,Amazônia
2013,11 - Veg. prim. florestal,22991179.65,Caatinga
2013,11 - Veg. prim. florestal,205132324.64,Cerrado
2013,11 - Veg. prim. florestal,17748137.66,Mata Atlântica
2013,11 - Veg. prim. florestal,13827134.23,Pampa
2013,15 - Outro,10373690.59,Amazônia
2013,15 - Outro,1521556.46,Caatinga
2013,15 - Outro,6802480.87,Cerrado
2013,15 - Outro,3299758.14,Mata Atlântica
2013,15 - Outro,1026072.41,Pampa
2013,2 - Soja,111436.18,Amazônia
2013,2 - Soja,37.89,Caatinga
2013,2 - Soja,3421059.86,Cerrado
2013,2 - Soja,2178398.08,Mata Atlântica
2013,2 - Soja,5759715.24,Pampa
2013,3 - Soja + Milho 2ª safra,36023.6,Amazônia
2013,3 - Soja + Milho 2ª safra,0.0,Caatinga
2013,3 - Soja + Milho 2ª safra,11159788.48,Cerrado
2013,3 - Soja + Milho 2ª safra,3477406.04,Mata Atlântica
2013,3 - Soja + Milho 2ª safra,0.0,Pampa
2013,4 - Milho 1ª safra,354312.54,Amazônia
2013,4 - Milho 1ª safra,510291.0,Caatinga
2013,4 - Milho 1ª safra,2918935.71,Cerrado
2013,4 - Milho 1ª safra,1905379.45,Mata Atlântica
2013,4 - Milho 1ª safra,1033728.0,Pampa
2013,5 - Cana-de-açúcar,59639.39,Amazônia
2013,5 - Cana-de-açúcar,1267916.64,Caatinga
2013,5 - Cana-de-açúcar,2511994.35,Cerrado
2013,5 - Cana-de-açúcar,7017173.01,Mata Atlântica
2013,5 - Cana-de-açúcar,80029.67,Pampa
2013,6 - Outra agropecuária,602243.26,Amazônia
2013,6 - Outra agropecuária,6108713.51,Caatinga
2013,6 - Outra agropecuária,26632356.21,Cerrado
2013,6 - Outra agropecuária,14645774.54,Mata Atlântica
2013,6 - Outra agropecuária,5619437.04,Pampa
2013,7 - Pastagem deg. média,4393441.47,Amazônia
2013,7 - Pastagem deg. média,1343492.01,Caatinga
2013,7 - Pastagem deg. média,19812526.93,Cerrado
2013,7 - Pastagem deg. média,2619185.63,Mata Atlântica
2013,7 - Pastagem deg. média,63424.14,Pampa
2013,8 - Pastagem deg. alta,251841.11,Amazônia
2013,8 - Pastagem deg. alta,2955247.49,Caatinga
2013,8 - Pastagem deg. alta,11146274.27,Cerrado
2013,8 - Pastagem deg. alta,796495.77,Mata Atlântica
2013,8 - Pastagem deg. alta,3835.76,Pampa
2013,9 - Pastagem deg. baixa,8502441.03,Amazônia
2013,9 - Pastagem deg. baixa,617402.91,Caatinga
2013,9 - Pastagem deg. baixa,9464403.68,Cerrado
2013,9 - Pastagem deg. baixa,2985522.42,Mata Atlântica
2013,9 - Pastagem deg. baixa,132177.72,Pampa
