periodo,origem_id,origem_nome,destino_id,destino_nome,area_ha
2008_2017,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,12 - Veg. sec. florestal,12 - Veg. sec. florestal,131.62
2008_2017,2 - Soja,2 - Soja,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,78.11
2008_2017,14 - Veg. sec. não-florestal,14 - Veg. sec. não-florestal,5 - Cana-de-açúcar,5 - Cana-de-açúcar,35.7
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,154279198.7
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,7 - Pastagem deg. média,7 - Pastagem deg. média,154279198.7
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,8 - Pastagem deg. alta,8 - Pastagem deg. alta,105095038.77
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,7 - Pastagem deg. média,7 - Pastagem deg. média,105095038.77
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,64773613.17
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,8 - Pastagem deg. alta,8 - Pastagem deg. alta,64773613.17
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,2303981.53
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,1793149.09
2017_2024,13 - Veg. prim. não-florestal,13 - Veg. prim. não-florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,1558771.16
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,1027902.86
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,6 - Outra agropecuária,6 - Outra agropecuária,879851.57
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,6 - Outra agropecuária,6 - Outra agropecuária,633535.12
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,6 - Outra agropecuária,6 - Outra agropecuária,534923.22
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,7 - Pastagem deg. média,7 - Pastagem deg. média,531023.39
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,433878.61
2017_2024,9 - Pastagem deg. baixa,9 - Pastagem deg. baixa,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,280022.83
2017_2024,11 - Veg. prim. florestal,11 - Veg. prim. florestal,8 - Pastagem deg. alta,8 - Pastagem deg. alta,278595.8
2017_2024,8 - Pastagem deg. alta,8 - Pastagem deg. alta,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,274891.95
2017_2024,7 - Pastagem deg. média,7 - Pastagem deg. média,5 - Cana-de-açúcar,5 - Cana-de-açúcar,156108.04
2017_2024,3 - Soja + Milho 2ª safra,3 - Soja + Milho 2ª safra,2 - Soja,2 - Soja,124791.28
