ano,classe,area_ha,bioma
2010,3 - Soja + Milho 2ª Safra,2955623.81,Mata Atlântica
2010,3 - Soja + Milho 2ª Safra,0.0,Pampa
2010,4 - Milho 1ª safra,373711.97,Amazônia
2010,4 - Milho 1ª safra,1169685.0,Caatinga
2010,4 - Milho 1ª safra,2949213.65,Cerrado
2010,4 - Milho 1ª safra,2040880.78,Mata Atlântica
2010,4 - Milho 1ª safra,1151397.0,Pampa
2010,5 - Cana-de-açúcar,53794.37,Amazônia
2010,5 - Cana-de-açúcar,1242366.93,Caatinga
2010,5 - Cana-de-açúcar,1818810.92,Cerrado
2010,5 - Cana-de-açúcar,6479019.06,Mata Atlântica
2010,5 - Cana-de-açúcar,70782.86,Pampa
2010,6 - Outra agropecuária,485837.91,Amazônia
2010,6 - Outra agropecuária,6257464.52,Caatinga
2010,6 - Outra agropecuária,25337428.42,Cerrado
2010,6 - Outra agropecuária,14848814.91,Mata Atlântica
2010,6 - Outra agropecuária,5855771.05,Pampa
2010,7 - Pastagem de Baixo Vigor,2638678.08,Amazônia
2010,7 - Pastagem de Baixo Vigor,3696516.63,Caatinga
2010,7 - Pastagem de Baixo Vigor,35171243.49,Cerrado
2010,7 - Pastagem de Baixo Vigor,3653342.69,Mata Atlântica
2010,7 - Pastagem de Baixo Vigor,1629222.62,Pampa
2010,8 - Pastagem de Médio Vigor,10994943.23,Amazônia
2010,8 - Pastagem de Médio Vigor,5798493.29,Caatinga
2010,8 - Pastagem de Médio Vigor,48753405.67,Cerrado
2010,8 - Pastagem de Médio Vigor,6995284.79,Mata Atlântica
2010,8 - Pastagem de Médio Vigor,4038992.69,Pampa
2010,9 - Pastagem de Alto Vigor,13859349.46,Amazônia
2010,9 - Pastagem de Alto Vigor,3906268.33,Caatinga
2010,9 - Pastagem de Alto Vigor,29527948.22,Cerrado
2010,9 - Pastagem de Alto Vigor,5581511.17,Mata Atlântica
2010,9 - Pastagem de Alto Vigor,3284405.74,Pampa
2011,1 - Culturas perenes,6174.96,Amazônia
2011,1 - Culturas perenes,379125.2,Caatinga
2011,1 - Culturas perenes,818805.49,Cerrado
2011,1 - Culturas perenes,586627.97,Mata Atlântica
2011,1 - Culturas perenes,8240.84,Pampa
2011,10 - Silvicultura,155427.17,Amazônia
2011,10 - Silvicultura,217090.06,Caatinga
2011,10 - Silvicultura,2942189.05,Cerrado
2011,10 - Silvicultura,2834273.65,Mata Atlântica
2011,10 - Silvicultura,915700.2,Pampa
2011,11 - Veg. prim. florestal,14378261.99,Amazônia
2011,11 - Veg. prim. florestal,1428971.44,Caatinga
2011,11 - Veg. prim. florestal,42286531.76,Cerrado
2011,11 - Veg. prim. florestal,16358843.07,Mata Atlântica
2011,11 - Veg. prim. florestal,5241044.83,Pampa
2011,12 - Veg. sec. florestal,462071.34,Amazônia
2011,12 - Veg. sec. florestal,20377.89,Caatinga
2011,12 - Veg. sec. florestal,3329258.49,Cerrado
2011,12 - Veg. sec. florestal,633956.53,Mata Atlântica
2011,12 - Veg. sec. florestal,311410.66,Pampa
2011,13 - Veg. prim. não-florestal,68.31,Amazônia
2011,13 - Veg. prim. não-florestal,21637251.9,Caatinga
2011,13 - Veg. prim. não-florestal,97756531.98,Cerrado
2011,13 - Veg. prim. não-florestal,37423.62,Mata Atlântica
2011,13 - Veg. prim. não-florestal,0.0,Pampa
2011,14 - Veg. sec. não-florestal,0.0,Amazônia
2011,14 - Veg. sec. não-florestal,0.0,Caatinga
2011,14 - Veg. sec. não-florestal,5419137.71,Cerrado
2011,14 - Veg. sec. não-florestal,0.0,Mata Atlântica
2011,14 - Veg. sec. não-florestal,0.0,Pampa
2011,15 - Outro,10376813.39,Amazônia
2011,15 - Outro,1691861.34,Caatinga
2011,15 - Outro,7544082.75,Cerrado
2011,15 - Outro,3268134.01,Mata Atlântica
2011,15 - Outro,1013189.17,Pampa
2011,2 - Soja Safra Única,85530.31,Amazônia
2011,2 - Soja Safra Única,4.59,Caatinga
2011,2 - Soja Safra Única,4023159.72,Cerrado
2011,2 - Soja Safra Única,2359956.2,Mata Atlântica
2011,2 - Soja Safra Única,5223571.02,Pampa
2011,3 - Soja + Milho 2ª Safra,20019.71,Amazônia
2011,3 - Soja + Milho 2ª Safra,0.0,Caatinga
2011,3 - Soja + Milho 2ª Safra,10456799.97,Cerrado
2011,3 - Soja + Milho 2ª Safra,3651954.7,Mata Atlântica
2011,3 - Soja + Milho 2ª Safra,0.0,Pampa
2011,4 - Milho 1ª safra,371948.35,Amazônia
2011,4 - Milho 1ª safra,1260421.0,Caatinga
2011,4 - Milho 1ª safra,2905956.55,Cerrado
2011,4 - Milho 1ª safra,1849546.69,Mata Atlântica
2011,4 - Milho 1ª safra,1100309.0,Pampa
2011,5 - Cana-de-açúcar,55318.71,Amazônia
2011,5 - Cana-de-açúcar,1248751.14,Caatinga
2011,5 - Cana-de-açúcar,1983363.21,Cerrado
2011,5 - Cana-de-açúcar,6604570.19,Mata Atlântica
2011,5 - Cana-de-açúcar,73780.5,Pampa
2011,6 - Outra agropecuária,503089.78,Amazônia
2011,6 - Outra agropecuária,6263035.43,Caatinga
2011,6 - Outra agropecuária,25516392.19,Cerrado
2011,6 - Outra agropecuária,14944993.33,Mata Atlântica
2011,6 - Outra agropecuária,5861788.83,Pampa
2011,7 - Pastagem de Baixo Vigor,2472120.18,Amazônia
2011,7 - Pastagem de Baixo Vigor,4136348.64,Caatinga
2011,7 - Pastagem de Baixo Vigor,34316107.08,Cerrado
2011,7 - Pastagem de Baixo Vigor,3269416.3,Mata Atlântica
2011,7 - Pastagem de Baixo Vigor,1356842.35,Pampa
2011,8 - Pastagem de Médio Vigor,10763788.35,Amazônia
2011,8 - Pastagem de Médio Vigor,5777941.81,Caatinga
2011,8 - Pastagem de Médio Vigor,48527947.92,Cerrado
2011,8 - Pastagem de Médio Vigor,6804210.73,Mata Atlântica
2011,8 - Pastagem de Médio Vigor,3816106.77,Pampa
2011,9 - Pastagem de Alto Vigor,14457526.2,Amazônia
2011,9 - Pastagem de Alto Vigor,3639490.81,Caatinga
2011,9 - Pastagem de Alto Vigor,30355833.28,Cerrado
2011,9 - Pastagem de Alto Vigor,5766792.19,Mata Atlântica
2011,9 - Pastagem de Alto Vigor,3567469.51,Pampa
2012,1 - Culturas perenes,5817.81,Amazônia
2012,1 - Culturas perenes,384512.14,Caatinga
2012,1 - Culturas perenes,863802.31,Cerrado
2012,1 - Culturas perenes,621687.92,Mata Atlântica
2012,1 - Culturas perenes,8157.88,Pampa
2012,10 - Silvicultura,163322.74,Amazônia
2012,10 - Silvicultura,230364.33,Caatinga
2012,10 - Silvicultura,3171934.04,Cerrado
2012,10 - Silvicultura,2972786.45,Mata Atlântica
2012,10 - Silvicultura,967042.82,Pampa
2012,11 - Veg. prim. florestal,14368681.32,Amazônia
2012,11 - Veg. prim. florestal,1422843.54,Caatinga
2012,11 - Veg. prim. florestal,42084600.58,Cerrado
2012,11 - Veg. prim. florestal,16362242.21,Mata Atlântica
2012,11 - Veg. prim. florestal,5215810.77,Pampa
2012,12 - Veg. sec. florestal,437978.05,Amazônia
2012,12 - Veg. sec. florestal,20866.38,Caatinga
2012,12 - Veg. sec. florestal,3309045.04,Cerrado
2012,12 - Veg. sec. florestal,645904.01,Mata Atlântica
2012,12 - Veg. sec. florestal,304246.47,Pampa
2012,13 - Veg. prim. não-florestal,70.02,Amazônia
2012,13 - Veg. prim. não-florestal,21566502.45,Caatinga
2012,13 - Veg. prim. não-florestal,96932971.7,Cerrado
2012,13 - Veg. prim. não-florestal,37147.14,Mata Atlântica
2012,13 - Veg. prim. não-florestal,0.0,Pampa
2012,14 - Veg. sec. não-florestal,0.0,Amazônia
2012,14 - Veg. sec. não-florestal,0.0,Caatinga
2012,14 - Veg. sec. não-florestal,5378086.99,Cerrado
2012,14 - Veg. sec. não-florestal,0.0,Mata Atlântica
2012,14 - Veg. sec. não-florestal,0.0,Pampa
2012,15 - Outro,10497584.21,Amazônia
2012,15 - Outro,1623151.48,Caatinga
2012,15 - Outro,6739434.23,Cerrado
2012,15 - Outro,3278208.28,Mata Atlântica
2012,15 - Outro,1015770.76,Pampa
2012,2 - Soja Safra Única,87318.45,Amazônia
2012,2 - Soja Safra Única,11.25,Caatinga
2012,2 - Soja Safra Única,3853396.42,Cerrado
2012,2 - Soja Safra Única,2361045.87,Mata Atlântica
2012,2 - Soja Safra Única,5425720.74,Pampa
2012,3 - Soja + Milho 2ª Safra,21516.12,Amazônia
2012,3 - Soja + Milho 2ª Safra,0.0,Caatinga
2012,3 - Soja + Milho 2ª Safra,10037172.35,Cerrado
2012,3 - Soja + Milho 2ª Safra,3407018.31,Mata Atlântica
2012,3 - Soja + Milho 2ª Safra,0.0,Pampa
2012,4 - Milho 1ª safra,376654.55,Amazônia
2012,4 - Milho 1ª safra,894152.0,Caatinga
2012,4 - Milho 1ª safra,3108922.83,Cerrado
2012,4 - Milho 1ª safra,2067569.19,Mata Atlântica
2012,4 - Milho 1ª safra,1119220.0,Pampa
2012,5 - Cana-de-açúcar,57104.29,Amazônia
2012,5 - Cana-de-açúcar,1256053.92,Caatinga
2012,5 - Cana-de-açúcar,2203360.26,Cerrado
2012,5 - Cana-de-açúcar,6767158.5,Mata Atlântica
2012,5 - Cana-de-açúcar,76803.74,Pampa
2012,6 - Outra agropecuária,542990.03,Amazônia
2012,6 - Outra agropecuária,6143000.16,Caatinga
2012,6 - Outra agropecuária,25608370.84,Cerrado
2012,6 - Outra agropecuária,14611185.73,Mata Atlântica
2012,6 - Outra agropecuária,5845294.64,Pampa
2012,7 - Pastagem de Baixo Vigor,2456169.18,Amazônia
2012,7 - Pastagem de Baixo Vigor,6118446.47,Caatinga
2012,7 - Pastagem de Baixo Vigor,35180699.36,Cerrado
2012,7 - Pastagem de Baixo Vigor,3158829.83,Mata Atlântica
2012,7 - Pastagem de Baixo Vigor,1098769.02,Pampa
2012,8 - Pastagem de Médio Vigor,10784723.3,Amazônia
2012,8 - Pastagem de Médio Vigor,5039234.06,Caatinga
2012,8 - Pastagem de Médio Vigor,48016405.35,Cerrado
2012,8 - Pastagem de Médio Vigor,6508005.59,Mata Atlântica
2012,8 - Pastagem de Médio Vigor,3523324.47,Pampa
2012,9 - Pastagem de Alto Vigor,14620139.12,Amazônia
2012,9 - Pastagem de Alto Vigor,2945078.97,Caatinga
2012,9 - Pastagem de Alto Vigor,29379691.24,Cerrado
2012,9 - Pastagem de Alto Vigor,5687909.25,Mata Atlântica
2012,9 - Pastagem de Alto Vigor,3788425.57,Pampa
2013,1 - Culturas perenes,7385.62,Amazônia
2013,1 - Culturas perenes,385807.3,Caatinga
2013,1 - Culturas perenes,938361.8,Cerrado
2013,1 - Culturas perenes,672268.06,Mata Atlântica
2013,1 - Culturas perenes,8943.1,Pampa
2013,10 - Silvicultura,178275.71,Amazônia
2013,10 - Silvicultura,251895.86,Caatinga
2013,10 - Silvicultura,3511261.04,Cerrado
2013,10 - Silvicultura,3075612.93,Mata Atlântica
2013,10 - Silvicultura,1017621.64,Pampa
2013,11 - Veg. prim. florestal,14348911.73,Amazônia
2013,11 - Veg. prim. florestal,1423135.27,Caatinga
2013,11 - Veg. prim. florestal,42099159.84,Cerrado
2013,11 - Veg. prim. florestal,16386836.55,Mata Atlântica
2013,11 - Veg. prim. florestal,5253704.23,Pampa
2013,12 - Veg. sec. florestal,423256.49,Amazônia
2013,12 - Veg. sec. florestal,21316.22,Caatinga
2013,12 - Veg. sec. florestal,3314891.1,Cerrado
2013,12 - Veg. sec. florestal,646539.89,Mata Atlântica
2013,12 - Veg. sec. florestal,317429.45,Pampa
2013,13 - Veg. prim. não-florestal,78.3,Amazônia
2013,13 - Veg. prim. não-florestal,21508002.0,Caatinga
2013,13 - Veg. prim. não-florestal,96190421.42,Cerrado
2013,13 - Veg. prim. não-florestal,37218.78,Mata Atlântica
2013,13 - Veg. prim. não-florestal,0.0,Pampa
2013,14 - Veg. sec. não-florestal,0.0,Amazônia
2013,14 - Veg. sec. não-florestal,0.0,Caatinga
2013,14 - Veg. sec. não-florestal,5333244.37,Cerrado
2013,14 - Veg. sec. não-florestal,0.0,Mata Atlântica
2013,14 - Veg. sec. não-florestal,0.0,Pampa
2013,15 - Outro,10373690.59,Amazônia
2013,15 - Outro,1521556.46,Caatinga
2013,15 - Outro,6802480.87,Cerrado
2013,15 - Outro,3299758.14,Mata Atlântica
2013,15 - Outro,1026072.41,Pampa
2013,2 - Soja Safra Única,111436.18,Amazônia
2013,2 - Soja Safra Única,37.89,Caatinga
2013,2 - Soja Safra Única,3421059.86,Cerrado
2013,2 - Soja Safra Única,2178398.08,Mata Atlântica
2013,2 - Soja Safra Única,5759715.24,Pampa
2013,3 - Soja + Milho 2ª Safra,36023.6,Amazônia
2013,3 - Soja + Milho 2ª Safra,0.0,Caatinga
2013,3 - Soja + Milho 2ª Safra,11159788.48,Cerrado
2013,3 - Soja + Milho 2ª Safra,3477406.04,Mata Atlântica
2013,3 - Soja + Milho 2ª Safra,0.0,Pampa
2013,4 - Milho 1ª safra,354312.54,Amazônia
2013,4 - Milho 1ª safra,510291.0,Caatinga
2013,4 - Milho 1ª safra,2918935.71,Cerrado
2013,4 - Milho 1ª safra,1905379.45,Mata Atlântica
2013,4 - Milho 1ª safra,1033728.0,Pampa
2013,5 - Cana-de-açúcar,59639.39,Amazônia
2013,5 - Cana-de-açúcar,1267916.64,Caatinga
2013,5 - Cana-de-açúcar,2511994.35,Cerrado
2013,5 - Cana-de-açúcar,7017173.01,Mata Atlântica
2013,5 - Cana-de-açúcar,80029.67,Pampa
2013,6 - Outra agropecuária,602243.26,Amazônia
2013,6 - Outra agropecuária,6108713.51,Caatinga
2013,6 - Outra agropecuária,26632356.21,Cerrado
2013,6 - Outra agropecuária,14645774.54,Mata Atlântica
2013,6 - Outra agropecuária,5619437.04,Pampa
2013,7 - Pastagem de Baixo Vigor,2363190.71,Amazônia
2013,7 - Pastagem de Baixo Vigor,7141465.01,Caatinga
2013,7 - Pastagem de Baixo Vigor,34079527.7,Cerrado
2013,7 - Pastagem de Baixo Vigor,2895807.11,Mata Atlântica
2013,7 - Pastagem de Baixo Vigor,799091.24,Pampa
2013,8 - Pastagem de Médio Vigor,10723589.82,Amazônia
2013,8 - Pastagem de Médio Vigor,4813279.93,Caatinga
2013,8 - Pastagem de Médio Vigor,47671546.16,Cerrado
2013,8 - Pastagem de Médio Vigor,6170733.15,Mata Atlântica
2013,8 - Pastagem de Médio Vigor,3045425.38,Pampa
2013,9 - Pastagem de Alto Vigor,15062531.89,Amazônia
