CD_MUN,SIGLA_UF,ANO,Veg_Natural_Primaria,Veg_Natural_Secundaria,Silvicultura,Pastagem,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Outras_Areas_Edificadas,Corpo_Dagua,Outros_Usos,Nao_Observado
3528601,SP,2018,284.88816633340804,89.34499219694399,497.294567847792,1380.154784529312,655.648303034736,1076.1951110423038,589.339683952272,429.3598518396,159.979832112672,0.0,0.0,0.0,0.0,3.493097099712,0.0,0.0
3511409,SP,2018,3519.124688158992,1408.109598962352,2587.883069119392,9629.926671597408,1954.197112217328,9622.12742893512,2863.767476549232,1709.1583581996,1154.609118349632,3.984941231568,0.0,500.145256285488,125.751495589632,2553.012323934336,0.0,0.0
3518602,SP,2018,375.136545711312,1.10413988784,0.0,21.641141801664,0.0,118.313607799728,0.0,0.0,0.0,21.962346132672,0.0,0.0,0.0,35.392702222944,0.0,0.0
3500709,SP,2018,13004.81053986312,3113.6744837088,30325.04141736009,24340.48277364317,1423.577595027456,15144.442927425504,1197.369444915072,780.114981300336,417.254463614736,10.99121070168,0.0,1101.700742451408,306.75013611264,51.011262818208,387.121482312048,0.0
3531902,SP,2018,0.0,0.0,0.0,0.020075270688,0.0,377.696142724032,10.067748250032,10.067748250032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3520608,SP,2018,550.142717933952,44.235858961008,110.685004938288,1968.741645830784,0.0,169.54569859550398,0.0,0.0,0.0,0.0,0.0,2.700123907536,0.0,0.0,0.0,0.0
3525409,SP,2018,758.6946674762399,114.619757993136,0.0,967.27672992456,4679.134054323697,4168.8808992468,644.2555869192959,146.619739469808,497.6358474494879,0.0,0.0,105.405208747344,0.0,7.12672109424,0.0,0.0
3524105,SP,2018,1708.315196830704,48.692569053744,6.444161890848,630.283198520448,505.826557890192,11932.379542074816,1271.949075520992,863.899123516704,408.049952004288,0.0,0.0,0.0,0.0,23.407765622208,0.0,0.0
3514700,SP,2018,4928.408690456592,851.572907314272,508.777622681328,12730.68271861848,142.042577752944,8761.430311093152,6850.656009373968,4183.796825367984,2666.859184005984,0.0,0.0,0.0,0.0,4.145543397072,0.0,0.0
3519105,SP,2018,1296.571395019824,59.212010894256,68.065205267664,1044.195129565632,564.3760848517439,2267.311109138064,1172.275356555072,937.826307825264,234.449048729808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
