rgint_id,ano,native_ha
2304,2024,1421602.88
2305,2008,1449044.15
2305,2009,1450633.39
2305,2010,1453604.81
2305,2011,1467756.59
2305,2012,1472587.55
2305,2013,1470098.19
2305,2014,1475679.45
2305,2015,1482539.93
2305,2016,1485967.41
2305,2017,1482652.99
2305,2018,1475387.3
2305,2019,1470094.96
2305,2020,1464915.28
2305,2021,1457833.16
2305,2022,1444631.72
2305,2023,1424392.86
2305,2024,1408726.39
2306,2008,2499985.56
2306,2009,2489794.04
2306,2010,2487229.56
2306,2011,2478291.87
2306,2012,2465720.71
2306,2013,2455494.45
2306,2014,2446102.03
2306,2015,2435619.91
2306,2016,2430579.46
2306,2017,2434945.89
2306,2018,2421949.93
2306,2019,2402690.33
2306,2020,2389975.77
2306,2021,2372116.58
2306,2022,2344117.26
2306,2023,2318637.33
2306,2024,2258385.55
2401,2008,623575.97
2401,2009,628034.52
2401,2010,637593.59
2401,2011,644225.24
2401,2012,650304.21
2401,2013,653691.61
2401,2014,654776.53
2401,2015,653719.52
2401,2016,653271.8
2401,2017,652926.85
2401,2018,648898.07
2401,2019,646674.85
2401,2020,644033.64
2401,2021,638632.21
2401,2022,633689.01
2401,2023,625352.86
2401,2024,612480.0
2402,2008,548837.32
2402,2009,552458.91
2402,2010,561852.52
2402,2011,565804.95
2402,2012,575901.34
2402,2013,582271.69
2402,2014,585224.95
2402,2015,587177.29
2402,2016,589174.09
2402,2017,589793.07
2402,2018,587473.59
2402,2019,585650.16
2402,2020,582719.44
2402,2021,580149.44
2402,2022,578664.94
2402,2023,572756.6
2402,2024,567936.67
2403,2008,1404924.89
2403,2009,1410659.94
2403,2010,1424944.43
2403,2011,1421657.66
2403,2012,1408958.82
2403,2013,1394900.87
2403,2014,1380175.6
2403,2015,1364536.45
2403,2016,1351984.9
2403,2017,1338623.64
2403,2018,1337067.83
2403,2019,1331819.56
2403,2020,1323843.78
2403,2021,1313009.53
2403,2022,1304205.95
2403,2023,1294598.13
2403,2024,1285320.41
2501,2008,217121.64
2501,2009,218156.59
2501,2010,217664.93
2501,2011,214856.69
2501,2012,209420.98
2501,2013,206001.42
2501,2014,206883.86
2501,2015,208616.96
2501,2016,211148.93
2501,2017,214563.63
2501,2018,215889.7
2501,2019,215938.19
2501,2020,213501.5
2501,2021,210751.17
2501,2022,209949.17
2501,2023,210355.77
2501,2024,209498.52
2502,2008,1214510.47
2502,2009,1216042.1
2502,2010,1228938.61
2502,2011,1233773.24
2502,2012,1237305.27
2502,2013,1241822.94
2502,2014,1243515.72
2502,2015,1237890.18
2502,2016,1228401.79
2502,2017,1217354.81
2502,2018,1206273.06
2502,2019,1195271.77
2502,2020,1182951.31
2502,2021,1170980.87
2502,2022,1164582.41
2502,2023,1158116.67
2502,2024,1149383.98
2503,2008,1363073.27
2503,2009,1357001.77
2503,2010,1353149.27
2503,2011,1345520.22
2503,2012,1335522.71
2503,2013,1328026.14
2503,2014,1328102.82
2503,2015,1328548.75
2503,2016,1327493.23
2503,2017,1325767.04
2503,2018,1323198.17
2503,2019,1322577.48
2503,2020,1321110.33
2503,2021,1313709.5
2503,2022,1300030.73
2503,2023,1286392.14
2503,2024,1280271.25
2504,2008,400605.67
2504,2009,396969.44
2504,2010,393651.47
2504,2011,389958.41
