,ano,bioma,macro_regiao,uf,municipio,geocod_mun,amaz_legal,matopiba,area_ibge_ha,classe,cor_legenda,area_past_ha
52,2014.0,Amazônia,Centro-Oeste,MT,Cláudia,5103056.0,1.0,0.0,384356.1,Severa,"rgb(208, 44, 23)",14330.81903059
53,2014.0,Amazônia,Centro-Oeste,MT,Colíder,5103205.0,1.0,0.0,311209.1,Ausente,"rgb(0, 115, 63)",29692.61139305
54,2014.0,Amazônia,Centro-Oeste,MT,Colíder,5103205.0,1.0,0.0,311209.1,Intermediário,"rgb(248, 200, 210)",128797.3653303
55,2014.0,Amazônia,Centro-Oeste,MT,Colíder,5103205.0,1.0,0.0,311209.1,Severa,"rgb(208, 44, 23)",50360.70470957
56,2014.0,Amazônia,Centro-Oeste,MT,Colniza,5103254.0,1.0,0.0,2796000.0,Ausente,"rgb(0, 115, 63)",197432.5037213
57,2014.0,Amazônia,Centro-Oeste,MT,Colniza,5103254.0,1.0,0.0,2796000.0,Intermediário,"rgb(248, 200, 210)",134697.75081329
58,2014.0,Amazônia,Centro-Oeste,MT,Colniza,5103254.0,1.0,0.0,2796000.0,Severa,"rgb(208, 44, 23)",12806.97843958
59,2014.0,Amazônia,Centro-Oeste,MT,Comodoro,5103304.0,1.0,0.0,2149000.0,Ausente,"rgb(0, 115, 63)",65994.91962686
60,2014.0,Amazônia,Centro-Oeste,MT,Comodoro,5103304.0,1.0,0.0,2149000.0,Intermediário,"rgb(248, 200, 210)",75657.77947498
61,2014.0,Amazônia,Centro-Oeste,MT,Comodoro,5103304.0,1.0,0.0,2149000.0,Severa,"rgb(208, 44, 23)",37900.73686392
62,2014.0,Amazônia,Centro-Oeste,MT,Confresa,5103353.0,1.0,0.0,580231.4,Ausente,"rgb(0, 115, 63)",21243.27253098
63,2014.0,Amazônia,Centro-Oeste,MT,Confresa,5103353.0,1.0,0.0,580231.4,Intermediário,"rgb(248, 200, 210)",117695.32647396
64,2014.0,Amazônia,Centro-Oeste,MT,Confresa,5103353.0,1.0,0.0,580231.4,Severa,"rgb(208, 44, 23)",167554.93973355
65,2014.0,Amazônia,Centro-Oeste,MT,Conquista D'Oeste,5103361.0,1.0,0.0,268467.6,Ausente,"rgb(0, 115, 63)",10465.04271512
66,2014.0,Amazônia,Centro-Oeste,MT,Conquista D'Oeste,5103361.0,1.0,0.0,268467.6,Intermediário,"rgb(248, 200, 210)",18928.77481407
67,2014.0,Amazônia,Centro-Oeste,MT,Conquista D'Oeste,5103361.0,1.0,0.0,268467.6,Severa,"rgb(208, 44, 23)",5432.32395951
68,2014.0,Amazônia,Centro-Oeste,MT,Cotriguaçu,5103379.0,1.0,0.0,946995.7,Ausente,"rgb(0, 115, 63)",111761.73991269
69,2014.0,Amazônia,Centro-Oeste,MT,Cotriguaçu,5103379.0,1.0,0.0,946995.7,Intermediário,"rgb(248, 200, 210)",64262.47169035
70,2014.0,Amazônia,Centro-Oeste,MT,Cotriguaçu,5103379.0,1.0,0.0,946995.7,Severa,"rgb(208, 44, 23)",1783.97159652
71,2014.0,Amazônia,Centro-Oeste,MT,Curvelândia,5103437.0,1.0,0.0,35712.80000000001,Ausente,"rgb(0, 115, 63)",904.23661218
72,2014.0,Amazônia,Centro-Oeste,MT,Curvelândia,5103437.0,1.0,0.0,35712.80000000001,Intermediário,"rgb(248, 200, 210)",15127.8650886
73,2014.0,Amazônia,Centro-Oeste,MT,Curvelândia,5103437.0,1.0,0.0,35712.80000000001,Severa,"rgb(208, 44, 23)",7229.45196991
74,2014.0,Amazônia,Centro-Oeste,MT,Denise,5103452.0,1.0,0.0,127317.8,Ausente,"rgb(0, 115, 63)",3608.22342498
75,2014.0,Amazônia,Centro-Oeste,MT,Denise,5103452.0,1.0,0.0,127317.8,Intermediário,"rgb(248, 200, 210)",31988.89976507
76,2014.0,Amazônia,Centro-Oeste,MT,Denise,5103452.0,1.0,0.0,127317.8,Severa,"rgb(208, 44, 23)",41179.06152093
77,2014.0,Amazônia,Centro-Oeste,MT,Diamantino,5103502.0,1.0,0.0,826339.7,Ausente,"rgb(0, 115, 63)",358.6596107
78,2014.0,Amazônia,Centro-Oeste,MT,Diamantino,5103502.0,1.0,0.0,826339.7,Intermediário,"rgb(248, 200, 210)",1726.68003448
79,2014.0,Amazônia,Centro-Oeste,MT,Diamantino,5103502.0,1.0,0.0,826339.7,Severa,"rgb(208, 44, 23)",8903.7746524
80,2014.0,Amazônia,Centro-Oeste,MT,Feliz Natal,5103700.0,1.0,0.0,1166000.0,Ausente,"rgb(0, 115, 63)",1698.90955981
81,2014.0,Amazônia,Centro-Oeste,MT,Feliz Natal,5103700.0,1.0,0.0,1166000.0,Intermediário,"rgb(248, 200, 210)",6706.27476772
82,2014.0,Amazônia,Centro-Oeste,MT,Feliz Natal,5103700.0,1.0,0.0,1166000.0,Severa,"rgb(208, 44, 23)",14655.9006866
83,2014.0,Amazônia,Centro-Oeste,MT,Figueirópolis D'Oeste,5103809.0,1.0,0.0,89144.8,Ausente,"rgb(0, 115, 63)",9242.50912511
84,2014.0,Amazônia,Centro-Oeste,MT,Figueirópolis D'Oeste,5103809.0,1.0,0.0,89144.8,Intermediário,"rgb(248, 200, 210)",44426.03081743
85,2014.0,Amazônia,Centro-Oeste,MT,Figueirópolis D'Oeste,5103809.0,1.0,0.0,89144.8,Severa,"rgb(208, 44, 23)",17725.89745514
86,2014.0,Amazônia,Centro-Oeste,MT,Gaúcha do Norte,5103858.0,1.0,0.0,1691000.0,Ausente,"rgb(0, 115, 63)",5188.38909458
87,2014.0,Amazônia,Centro-Oeste,MT,Gaúcha do Norte,5103858.0,1.0,0.0,1691000.0,Intermediário,"rgb(248, 200, 210)",21508.05846951
88,2014.0,Amazônia,Centro-Oeste,MT,Gaúcha do Norte,5103858.0,1.0,0.0,1691000.0,Severa,"rgb(208, 44, 23)",106102.34271378
89,2014.0,Amazônia,Centro-Oeste,MT,Glória D'Oeste,5103957.0,1.0,0.0,83313.0,Ausente,"rgb(0, 115, 63)",1983.12677335
90,2014.0,Amazônia,Centro-Oeste,MT,Glória D'Oeste,5103957.0,1.0,0.0,83313.0,Intermediário,"rgb(248, 200, 210)",18329.00316039
91,2014.0,Amazônia,Centro-Oeste,MT,Glória D'Oeste,5103957.0,1.0,0.0,83313.0,Severa,"rgb(208, 44, 23)",32615.54490881
92,2014.0,Amazônia,Centro-Oeste,MT,Guarantã do Norte,5104104.0,1.0,0.0,472528.1,Ausente,"rgb(0, 115, 63)",69227.48193373
93,2014.0,Amazônia,Centro-Oeste,MT,Guarantã do Norte,5104104.0,1.0,0.0,472528.1,Intermediário,"rgb(248, 200, 210)",94770.99596767
94,2014.0,Amazônia,Centro-Oeste,MT,Guarantã do Norte,5104104.0,1.0,0.0,472528.1,Severa,"rgb(208, 44, 23)",17415.58216333
95,2014.0,Amazônia,Centro-Oeste,MT,Indiavaí,5104500.0,1.0,0.0,59249.5,Ausente,"rgb(0, 115, 63)",17868.03395062
96,2014.0,Amazônia,Centro-Oeste,MT,Indiavaí,5104500.0,1.0,0.0,59249.5,Intermediário,"rgb(248, 200, 210)",23590.17605643
97,2014.0,Amazônia,Centro-Oeste,MT,Indiavaí,5104500.0,1.0,0.0,59249.5,Severa,"rgb(208, 44, 23)",1566.89475871
98,2014.0,Amazônia,Centro-Oeste,MT,Ipiranga do Norte,5104526.0,1.0,0.0,342201.6,Ausente,"rgb(0, 115, 63)",314.09156595
99,2014.0,Amazônia,Centro-Oeste,MT,Ipiranga do Norte,5104526.0,1.0,0.0,342201.6,Intermediário,"rgb(248, 200, 210)",1324.79780332
100,2014.0,Amazônia,Centro-Oeste,MT,Ipiranga do Norte,5104526.0,1.0,0.0,342201.6,Severa,"rgb(208, 44, 23)",1711.14719033
101,2014.0,Amazônia,Centro-Oeste,MT,Itanhangá,5104542.0,1.0,0.0,290974.5,Ausente,"rgb(0, 115, 63)",6704.78314327
102,2014.0,Amazônia,Centro-Oeste,MT,Itanhangá,5104542.0,1.0,0.0,290974.5,Intermediário,"rgb(248, 200, 210)",16028.70756709
103,2014.0,Amazônia,Centro-Oeste,MT,Itanhangá,5104542.0,1.0,0.0,290974.5,Severa,"rgb(208, 44, 23)",28129.37770958
104,2014.0,Amazônia,Centro-Oeste,MT,Itaúba,5104559.0,1.0,0.0,452179.0,Ausente,"rgb(0, 115, 63)",17523.79898562
105,2014.0,Amazônia,Centro-Oeste,MT,Itaúba,5104559.0,1.0,0.0,452179.0,Intermediário,"rgb(248, 200, 210)",42795.66176491
106,2014.0,Amazônia,Centro-Oeste,MT,Itaúba,5104559.0,1.0,0.0,452179.0,Severa,"rgb(208, 44, 23)",31713.41960455
107,2014.0,Amazônia,Centro-Oeste,MT,Jauru,5105002.0,1.0,0.0,134541.1,Ausente,"rgb(0, 115, 63)",43642.45115828
108,2014.0,Amazônia,Centro-Oeste,MT,Jauru,5105002.0,1.0,0.0,134541.1,Intermediário,"rgb(248, 200, 210)",51889.25288398
109,2014.0,Amazônia,Centro-Oeste,MT,Jauru,5105002.0,1.0,0.0,134541.1,Severa,"rgb(208, 44, 23)",6429.44278798
110,2014.0,Amazônia,Centro-Oeste,MT,Juara,5105101.0,1.0,0.0,2263000.0,Ausente,"rgb(0, 115, 63)",203721.93478284
111,2014.0,Amazônia,Centro-Oeste,MT,Juara,5105101.0,1.0,0.0,2263000.0,Intermediário,"rgb(248, 200, 210)",332852.73400282
112,2014.0,Amazônia,Centro-Oeste,MT,Juara,5105101.0,1.0,0.0,2263000.0,Severa,"rgb(208, 44, 23)",90758.88615225
113,2014.0,Amazônia,Centro-Oeste,MT,Juína,5105150.0,1.0,0.0,2640000.0,Ausente,"rgb(0, 115, 63)",129228.02016383
114,2014.0,Amazônia,Centro-Oeste,MT,Juína,5105150.0,1.0,0.0,2640000.0,Intermediário,"rgb(248, 200, 210)",174409.97372607
115,2014.0,Amazônia,Centro-Oeste,MT,Juína,5105150.0,1.0,0.0,2640000.0,Severa,"rgb(208, 44, 23)",43222.48391585
116,2014.0,Amazônia,Centro-Oeste,MT,Juruena,5105176.0,1.0,0.0,320783.7,Ausente,"rgb(0, 115, 63)",51793.08733938
117,2014.0,Amazônia,Centro-Oeste,MT,Juruena,5105176.0,1.0,0.0,320783.7,Intermediário,"rgb(248, 200, 210)",62501.61401995
118,2014.0,Amazônia,Centro-Oeste,MT,Juruena,5105176.0,1.0,0.0,320783.7,Severa,"rgb(208, 44, 23)",6859.41298411
119,2014.0,Amazônia,Centro-Oeste,MT,Lambari D'Oeste,5105234.0,1.0,0.0,181054.7,Ausente,"rgb(0, 115, 63)",8050.99436475
120,2014.0,Amazônia,Centro-Oeste,MT,Lambari D'Oeste,5105234.0,1.0,0.0,181054.7,Intermediário,"rgb(248, 200, 210)",39919.10245784
121,2014.0,Amazônia,Centro-Oeste,MT,Lambari D'Oeste,5105234.0,1.0,0.0,181054.7,Severa,"rgb(208, 44, 23)",41233.51241744
122,2014.0,Amazônia,Centro-Oeste,MT,Lucas do Rio Verde,5105259.0,1.0,0.0,367459.6,Ausente,"rgb(0, 115, 63)",1348.67913786
123,2014.0,Amazônia,Centro-Oeste,MT,Lucas do Rio Verde,5105259.0,1.0,0.0,367459.6,Intermediário,"rgb(248, 200, 210)",3170.76158961
124,2014.0,Amazônia,Centro-Oeste,MT,Lucas do Rio Verde,5105259.0,1.0,0.0,367459.6,Severa,"rgb(208, 44, 23)",1920.63333569
125,2014.0,Amazônia,Centro-Oeste,MT,Marcelândia,5105580.0,1.0,0.0,1229000.0,Ausente,"rgb(0, 115, 63)",33046.25190808
126,2014.0,Amazônia,Centro-Oeste,MT,Marcelândia,5105580.0,1.0,0.0,1229000.0,Intermediário,"rgb(248, 200, 210)",72066.16006721
127,2014.0,Amazônia,Centro-Oeste,MT,Marcelândia,5105580.0,1.0,0.0,1229000.0,Severa,"rgb(208, 44, 23)",68570.91504947
128,2014.0,Amazônia,Centro-Oeste,MT,Matupá,5105606.0,1.0,0.0,522827.2,Ausente,"rgb(0, 115, 63)",38262.92269719
129,2014.0,Amazônia,Centro-Oeste,MT,Matupá,5105606.0,1.0,0.0,522827.2,Intermediário,"rgb(248, 200, 210)",77710.62062181
130,2014.0,Amazônia,Centro-Oeste,MT,Matupá,5105606.0,1.0,0.0,522827.2,Severa,"rgb(208, 44, 23)",33865.51341409
131,2014.0,Amazônia,Centro-Oeste,MT,Mirassol d'Oeste,5105622.0,1.0,0.0,108548.6,Ausente,"rgb(0, 115, 63)",6400.91674947
132,2014.0,Amazônia,Centro-Oeste,MT,Mirassol d'Oeste,5105622.0,1.0,0.0,108548.6,Intermediário,"rgb(248, 200, 210)",41272.70507885
133,2014.0,Amazônia,Centro-Oeste,MT,Mirassol d'Oeste,5105622.0,1.0,0.0,108548.6,Severa,"rgb(208, 44, 23)",17743.22833674
134,2014.0,Amazônia,Centro-Oeste,MT,Nortelândia,5106000.0,1.0,0.0,133675.4,Ausente,"rgb(0, 115, 63)",1547.30616629
135,2014.0,Amazônia,Centro-Oeste,MT,Nortelândia,5106000.0,1.0,0.0,133675.4,Intermediário,"rgb(248, 200, 210)",10289.12338112
136,2014.0,Amazônia,Centro-Oeste,MT,Nortelândia,5106000.0,1.0,0.0,133675.4,Severa,"rgb(208, 44, 23)",16066.6284794
137,2014.0,Amazônia,Centro-Oeste,MT,Nova Bandeirantes,5106158.0,1.0,0.0,955666.1,Ausente,"rgb(0, 115, 63)",154273.40776779
138,2014.0,Amazônia,Centro-Oeste,MT,Nova Bandeirantes,5106158.0,1.0,0.0,955666.1,Intermediário,"rgb(248, 200, 210)",146704.12360659
139,2014.0,Amazônia,Centro-Oeste,MT,Nova Bandeirantes,5106158.0,1.0,0.0,955666.1,Severa,"rgb(208, 44, 23)",9674.88166383
140,2014.0,Amazônia,Centro-Oeste,MT,Nova Canaã do Norte,5106216.0,1.0,0.0,595309.9,Ausente,"rgb(0, 115, 63)",48487.94886276
141,2014.0,Amazônia,Centro-Oeste,MT,Nova Canaã do Norte,5106216.0,1.0,0.0,595309.9,Intermediário,"rgb(248, 200, 210)",152039.35156068
142,2014.0,Amazônia,Centro-Oeste,MT,Nova Canaã do Norte,5106216.0,1.0,0.0,595309.9,Severa,"rgb(208, 44, 23)",47469.65399464
143,2014.0,Amazônia,Centro-Oeste,MT,Nova Guarita,5108808.0,1.0,0.0,112192.8,Ausente,"rgb(0, 115, 63)",14551.52727459
144,2014.0,Amazônia,Centro-Oeste,MT,Nova Guarita,5108808.0,1.0,0.0,112192.8,Intermediário,"rgb(248, 200, 210)",52032.39782119
145,2014.0,Amazônia,Centro-Oeste,MT,Nova Guarita,5108808.0,1.0,0.0,112192.8,Severa,"rgb(208, 44, 23)",11740.75888891
146,2014.0,Amazônia,Centro-Oeste,MT,Nova Lacerda,5106182.0,1.0,0.0,478042.6,Ausente,"rgb(0, 115, 63)",24349.55017645
147,2014.0,Amazônia,Centro-Oeste,MT,Nova Lacerda,5106182.0,1.0,0.0,478042.6,Intermediário,"rgb(248, 200, 210)",80094.22946555
148,2014.0,Amazônia,Centro-Oeste,MT,Nova Lacerda,5106182.0,1.0,0.0,478042.6,Severa,"rgb(208, 44, 23)",35673.80389772
149,2014.0,Amazônia,Centro-Oeste,MT,Nova Marilândia,5108857.0,1.0,0.0,190574.4,Ausente,"rgb(0, 115, 63)",4636.5985809
150,2014.0,Amazônia,Centro-Oeste,MT,Nova Marilândia,5108857.0,1.0,0.0,190574.4,Intermediário,"rgb(248, 200, 210)",26694.17728589
151,2014.0,Amazônia,Centro-Oeste,MT,Nova Marilândia,5108857.0,1.0,0.0,190574.4,Severa,"rgb(208, 44, 23)",41442.00356568
152,2014.0,Amazônia,Centro-Oeste,MT,Nova Maringá,5108907.0,1.0,0.0,1155000.0,Ausente,"rgb(0, 115, 63)",8685.09394059
153,2014.0,Amazônia,Centro-Oeste,MT,Nova Maringá,5108907.0,1.0,0.0,1155000.0,Intermediário,"rgb(248, 200, 210)",25447.02307457
