CD_MUN,SIGLA_UF,ANO,Veg_Florestal_Primaria,Veg_Florestal_Secundaria,Natural_Nao_Florestal,Silvicultura,Pastagem_Arbustiva_Arborea,Pastagem_Herbacea,Cultura_Perene,Cultura_Semiperene,Cultura_Temporaria_Total,Cultura_Temporaria_1Ciclo,Cultura_Temporaria_NCiclos,Desflorestamento_Ano,Mineracao,Urbanizada,Corpo_Dagua,Outros_Usos,Nao_Observado,mb_municipio,mb_state_acronym,municipality,state_acronym,MB_Floresta_ha,MB_Pastagem_ha,MB_Savana_ha,TC_Floresta,TC_Pastagem,TC_Agri,MB_Agricultura_ha,MB_Mosaico_ha
1101302,RO,2008,36675.9336,8910.3386,21699.2497,0.0000,9654.9806,44233.3997,0.0000,0.0000,0.0000,0.0000,0.0000,534.9257,0.0000,228.8280,192.7627,13.6211,10.5696,Mirante da Serra,RO,Mirante da Serra,RO,62074.6037,58462.5775,,45586.2722,53888.3803,0.0000,60.4889,
1100015,RO,2008,321729.7109,41087.0226,174547.4322,0.0000,21960.4992,159664.1384,1430.9151,0.0000,0.0000,0.0000,0.0000,2706.7487,0.0000,507.6333,3206.8639,34.8306,419.7438,Alta Floresta D'Oeste,RO,Alta Floresta D'Oeste,RO,507968.3887,198347.7776,,362816.7335,181624.6377,1430.9151,132.8178,
1100049,RO,2008,132658.7739,24748.5628,2730.0963,0.0000,49234.9728,172647.4082,3021.2881,0.0000,0.0000,0.0000,0.0000,470.5844,22.7654,2161.3739,1169.1838,22.4241,327.7589,Cacoal,RO,Cacoal,RO,161408.2968,213370.7138,,157407.3367,221882.3810,3021.2881,60.0437,
1100056,RO,2008,78386.3235,9406.5391,127103.3342,0.0000,915.8539,53868.8371,0.0000,0.0000,16523.0419,0.0000,0.0000,230.8757,0.0000,938.5089,136.3613,0.0000,98.2885,Cerejeiras,RO,Cerejeiras,RO,200907.8017,57667.6002,,87792.8626,54784.6910,16523.0419,18642.8448,
1100023,RO,2008,123688.4303,56182.0001,9117.9270,0.0000,36022.2125,217558.7699,62.3839,0.0000,129.7264,0.0000,0.0000,853.9719,2196.6763,2884.0937,2361.6749,7.0163,931.3219,Ariquemes,RO,Ariquemes,RO,187136.1325,245276.5813,,179870.4304,253580.9824,192.1103,614.5720,
1100031,RO,2008,35104.7124,11969.8701,1163.3419,0.0000,9256.7876,69200.6525,610.4488,0.0000,6559.5545,0.0000,0.0000,395.6334,0.0000,304.4114,404.9985,9.9272,755.4826,Cabixi,RO,Cabixi,RO,48636.0548,72260.8637,,47074.5825,78457.4402,7170.0034,10031.9827,
1100080,RO,2008,289136.8966,18435.2716,55923.0693,0.0000,38577.3428,94152.8288,0.0000,0.0000,0.0000,0.0000,0.0000,10443.8183,0.0000,754.1677,2464.5707,47.2973,1893.6802,Costa Marques,RO,Costa Marques,RO,348265.5589,144337.8451,,307572.1683,132730.1716,0.0000,10.1392,
1100098,RO,2008,221520.8253,19902.3022,30206.2259,0.0000,44134.7298,145602.2946,0.0000,0.0000,0.0000,0.0000,0.0000,1096.9429,14.1230,845.1990,272.5720,0.0000,100.9686,Espigão D'Oeste,RO,Espigão D'Oeste,RO,272439.0121,181072.0470,,241423.1275,189737.0244,0.0000,126.9671,
1100064,RO,2008,22400.4688,15617.5167,5497.9441,0.0000,4589.1467,98950.2464,0.0000,0.0000,1609.9062,0.0000,0.0000,182.2333,0.0000,933.1387,57.9774,0.0000,80.0702,Colorado do Oeste,RO,Colorado do Oeste,RO,40258.8867,102955.0919,,38017.9855,103539.3930,1609.9062,2717.1668,
1100072,RO,2008,85188.9896,24290.3046,9975.0908,0.0000,5420.4937,168318.0556,0.0000,0.0000,20173.1878,0.0000,0.0000,453.0487,0.0000,358.2532,439.2068,62.6750,1218.6091,Corumbiara,RO,Corumbiara,RO,114118.4601,176021.9140,,109479.2942,173738.5494,20173.1878,17665.6367,
1100924,RO,2008,225091.6037,28252.6010,33418.1187,0.0000,17068.8885,210120.1594,127.0865,0.0000,8618.3237,0.0000,0.0000,1813.3089,0.0000,502.7049,917.3194,42.4190,1494.5236,Chupinguaia,RO,Chupinguaia,RO,271989.7621,236961.4135,,253344.2047,227189.0479,8745.4102,9697.2100,
1100908,RO,2008,18295.2868,15087.3288,62.2434,0.0000,2725.9006,54441.8254,18.0979,0.0000,0.0000,0.0000,0.0000,501.6509,0.0000,0.0000,452.0650,0.0000,79.1969,Castanheiras,RO,Castanheiras,RO,31373.6153,57392.2946,,33382.6156,57167.7260,18.0979,125.0723,
1100940,RO,2008,254820.3494,22674.8576,1.6562,0.0000,37460.0737,72069.0674,0.0000,0.0000,0.0000,0.0000,0.0000,4909.5881,0.0000,484.4665,542.6245,0.0000,906.4085,Cujubim,RO,Cujubim,RO,260244.1841,124234.9193,,277495.2070,109529.1411,0.0000,0.0000,
1100122,RO,2008,432156.2066,36930.1166,6720.5482,0.0000,47766.9084,173404.9586,0.0000,0.0000,0.0000,0.0000,0.0000,600.5116,0.0000,3296.9517,4615.8869,0.0000,241.8468,Ji-Paraná,RO,Ji-Paraná,RO,457984.2879,226290.7536,,469086.3232,221171.8670,0.0000,35.8275,
1100130,RO,2008,542377.4226,52171.9046,38222.8235,0.0000,78241.9020,140420.9074,0.0000,0.0000,0.0000,0.0000,0.0000,5384.4185,188.6072,963.0308,6996.8341,8.4918,2541.2984,Machadinho D'Oeste,RO,Machadinho D'Oeste,RO,601171.8853,268019.0537,,594549.3271,218662.8094,0.0000,78.1060,
1101401,RO,2008,56845.7086,22322.2154,4441.5131,0.0000,6745.0601,103682.4996,0.0000,0.0000,0.0000,0.0000,0.0000,675.7537,1530.7093,244.8079,478.2331,0.0000,497.6459,Monte Negro,RO,Monte Negro,RO,86916.2689,103528.2536,,79167.9241,110427.5597,0.0000,6.2513,
1100106,RO,2008,1998697.9748,45588.5608,385453.8095,0.0000,35140.9483,58132.3528,0.0000,0.0000,0.0000,0.0000,0.0000,1711.0856,0.0000,1719.6176,14624.1923,36.0552,5024.2982,Guajará-Mirim,RO,Guajará-Mirim,RO,2361316.2804,134108.5659,,2044286.5356,93273.3011,0.0000,11.9526,
1101450,RO,2008,98741.9152,15651.3335,48826.7722,0.0000,13564.2782,83375.0182,0.0000,0.0000,0.0000,0.0000,0.0000,2007.7579,0.0000,0.7227,150.7854,66.2986,36.1355,Parecis,RO,Parecis,RO,140091.4656,114926.4027,,114393.2487,96939.2965,0.0000,32.5084,
1100114,RO,2008,31242.9631,26830.6695,4692.3436,0.0000,50411.6847,186296.2535,0.0000,0.0000,0.0000,0.0000,0.0000,261.7514,0.0000,1138.3281,414.8856,0.0000,73.1442,Jaru,RO,Jaru,RO,50391.2676,243930.8023,,58073.6326,236707.9383,0.0000,8.1679,
1101468,RO,2008,238069.4030,15168.8143,248693.2964,0.0000,18425.6355,85258.5705,0.0000,0.0000,8193.8221,0.0000,0.0000,667.3823,0.0000,119.1969,2370.5683,23.5884,2000.4104,Pimenteiras do Oeste,RO,Pimenteiras do Oeste,RO,470945.1752,107183.5426,,253238.2173,103684.2060,8193.8221,7316.6306,
1101435,RO,2008,11970.7333,9358.2581,395.0211,0.0000,12818.3514,47498.2009,67.0614,0.0000,0.0000,0.0000,0.0000,453.6911,0.0000,55.7290,75.1417,0.0000,15.5784,Nova União,RO,Nova União,RO,18138.0677,63156.7631,,21328.9914,60316.5523,67.0614,7.7274,
1101005,RO,2008,364062.5847,17914.4990,19021.6402,0.0000,32617.0351,84876.7589,0.0000,0.0000,0.0000,0.0000,0.0000,376.1503,8.9034,86.9259,45.4303,0.0000,19.0916,Governador Jorge Teixeira,RO,Governador Jorge Teixeira,RO,388865.2311,121334.9206,,381977.0838,117493.7940,0.0000,2.8120,
1100601,RO,2008,49580.8094,23984.7691,4109.0666,0.0000,16034.0986,105952.7316,0.0000,0.0000,0.0000,0.0000,0.0000,706.5090,0.0000,0.0000,234.8305,0.0000,46.2936,Cacaulândia,RO,Cacaulândia,RO,77561.2234,119400.4481,,73565.5785,121986.8303,0.0000,1.3200,
1101104,RO,2008,308516.3885,20941.4985,253.7113,0.0000,17976.0197,42263.4134,179.7841,0.0000,340.5067,0.0000,0.0000,2084.1343,1620.1848,297.8568,20691.4109,208.1705,690.1878,Itapuã do Oeste,RO,Itapuã do Oeste,RO,328862.4871,63562.6722,,329457.8871,60239.4331,520.2908,193.3562,
1100700,RO,2008,139628.4160,32298.5811,28181.4743,0.0000,17163.0114,131490.3931,0.0000,0.0000,0.0000,0.0000,0.0000,2004.7266,666.3484,247.7991,108.1053,4.1857,450.2783,Campo Novo de Rondônia,RO,Campo Novo de Rondônia,RO,200333.8260,143681.4509,,171926.9971,148653.4045,0.0000,34.8344,
1101203,RO,2010,9619.0258,13015.9624,0.0000,0.0000,7101.1954,50451.1226,1440.5010,0.0000,0.0000,0.0000,0.0000,22.6951,0.0000,108.9485,32.6022,34.9611,30.3237,Ministro Andreazza,RO,Ministro Andreazza,RO,20003.4384,61822.5992,,22634.9882,57552.3180,1440.5010,2.2820,
1101708,RO,2010,5586.3556,6684.0011,9941.4648,0.0000,6007.1634,56459.3902,0.0000,0.0000,0.0000,0.0000,0.0000,21.6211,0.0000,338.6497,208.3010,0.0000,3.2923,Urupá,RO,Urupá,RO,12960.6729,70552.0742,,12270.3568,62466.5536,0.0000,2.8965,
1100403,RO,2010,99452.9713,36855.8683,71.4880,0.0000,16215.4787,112610.4844,0.0000,0.0000,159.5583,0.0000,0.0000,887.0559,1.0038,335.4879,2150.6136,38.7051,1941.7806,Alto Paraíso,RO,Alto Paraíso,RO,140115.8672,120959.2495,,136308.8395,128825.9631,159.5583,81.3828,
